Name;Position;Value
Rafał Gikiewicz;Goalkeeper;4 million €
Lukas Ulreich;Goalkeeper;2 million €
Mads Pedersen;Defender;6 million €
Reece Oxford;Defender;10 million €
Jeffrey Gouweleeuw;Defender;7 million €
Felix Uduokhai;Defender;9 million €
Arne Maier;Midfielder;5 million €
Ruben Vargas;Midfielder;8 million €
Carlos Gruezo;Midfielder;5 million €
Nico Giesselmann;Midfielder;3 million €
Florian Niederlechner;Forward;5 million €
Michael Gregoritsch;Forward;8 million €
André Hahn;Forward;3 million €
Erik Peters;Defender;2 million €
Marius Bülter;Forward;4 million €
