Name;Position;Value
Lukas Hrádecký;Goalkeeper;15 million €
Geronimo Rulli;Goalkeeper;8 million €
Jonathan Tah;Defender;25 million €
Moussa Diaby;Forward;60 million €
Jeremie Frimpong;Defender;30 million €
Nadiem Amiri;Midfielder;10 million €
Sardar Azmoun;Forward;18 million €
Patrik Schick;Forward;35 million €
Florian Wirtz;Midfielder;80 million €
Charles Aránguiz;Midfielder;5 million €
Amine Adli;Forward;15 million €
Ezequiel Palacios;Midfielder;15 million €
Piero Hincapié;Defender;25 million €
Mitchel Bakker;Defender;15 million €
Robert Andrich;Midfielder;10 million €
Kamil Piątkowski;Defender;5 million €
Kerem Demirbay;Midfielder;12 million €
Exequiel Palacios;Midfielder;15 million €
