Name;Position;Value
Manuel Riemann;Goalkeeper;3 million €
Michael Esser;Goalkeeper;1 million €
Vladimir Vastic;Defender;1 million €
Erhan Mašović;Defender;3 million €
Marcel Costly;Defender;1.5 million €
Haris Duljević;Midfielder;2 million €
Jordi Osei-Tutu;Defender;2 million €
Philipp Förster;Midfielder;2.5 million €
Jürgen Locadia;Forward;4 million €
Takuma Asano;Forward;5 million €
Gerrit Holtmann;Forward;3 million €
Philipp Hofmann;Forward;2.5 million €
Kevin Stöger;Midfielder;3 million €
Pavel Kadeřábek;Defender;3 million €
Milos Pantović;Midfielder;2 million €
Jürgen Locadia;Forward;4 million €
Christopher Antwi-Adjej;Forward;1 million €
