Name;Position;Value
Jiri Pavlenka;Goalkeeper;6 million €
Luca Plogmann;Goalkeeper;1 million €
Marco Friedl;Defender;10 million €
Milot Rashica;Forward;15 million €
Niclas Füllkrug;Forward;20 million €
Oliver Burke;Forward;8 million €
Marvin Ducksch;Forward;8 million €
Ilia Gruev;Midfielder;5 million €
Leonardo Bittencourt;Midfielder;4 million €
Christoph Baumgartner;Midfielder;6 million €
Mitchell Weiser;Defender;4 million €
Anthony Jung;Defender;2 million €
Oscar Schönfelder;Midfielder;2 million €
Naby Keïta;Midfielder;7 million €
Felix Agu;Defender;4 million €
Mats Kuhnert;Forward;1 million €
Daniel-Kofi Kyereh;Midfielder;6 million €
