Name;Position;Value
Marvin Schwäbe;Goalkeeper;5 million €
Timo Horn;Goalkeeper;2 million €
Jonas Hector;Defender;5 million €
Luca Kilian;Defender;4 million €
Jeff Chabot;Defender;4 million €
Benno Schmitz;Defender;3 million €
Jorge Meré;Defender;4 million €
Florian Kainz;Midfielder;7 million €
Ellyes Skhiri;Midfielder;12 million €
Dejan Ljubičić;Midfielder;6 million €
Ondrej Duda;Midfielder;5 million €
Jan Thielmann;Midfielder;4 million €
Steffen Tigges;Forward;3 million €
Anthony Modeste;Forward;6 million €
Mark Uth;Forward;5 million €
Sargis Adamyan;Forward;4 million €
Kingsley Schindler;Forward;2 million €
Linton Maina;Forward;7 million €
