Name;Position;Value
Gregor Kobel;Goalkeeper;15 million €
Mats Hummels;Defender;10 million €
Raphaël Guerreiro;Defender;20 million €
Marius Wolf;Defender;15 million €
Niklas Süle;Defender;30 million €
Emre Can;Midfielder;25 million €
Jude Bellingham;Midfielder;120 million €
Marco Reus;Forward;15 million €
Donyell Malen;Forward;30 million €
Sebastian Haller;Forward;25 million €
Youssoufa Moukoko;Forward;20 million €
Thorgan Hazard;Forward;15 million €
Julian Brandt;Midfielder;30 million €
Giovanni Reyna;Midfielder;25 million €
Salih Özcan;Midfielder;10 million €
Nico Schlotterbeck;Defender;25 million €
Felix Nmecha;Midfielder;20 million €
Sergio Gómez;Midfielder;10 million €
Dahoud;Midfielder;15 million €
Raphaël Guerreiro;Defender;20 million €
Stefan Tigges;Forward;5 million €
Marius Wolf;Defender;15 million €
