Name;Position;Value
Kevin Trapp;Goalkeeper;18 million €
Rafael Borré;Forward;15 million €
Jens Petter Hauge;Forward;7 million €
Daichi Kamada;Midfielder;20 million €
Jesper Lindstrøm;Midfielder;18 million €
Tuta;Defender;12 million €
Evan Ndicka;Defender;20 million €
Makoto Hasebe;Defender;1 million €
Kristijan Jakić;Midfielder;10 million €
Sebastian Rode;Midfielder;6 million €
Djibril Sow;Midfielder;18 million €
Kamada;Midfielder;15 million €
Ragnar Ache;Forward;4 million €
Mario Götze;Midfielder;8 million €
Kolo Muani;Forward;25 million €
Aurélio Buta;Defender;5 million €
Ansgar Knauff;Forward;10 million €
Philipp Max;Defender;6 million €
Mijat Gačić;Forward;1 million €
