Name;Position;Value
Yann Sommer;Goalkeeper;8 million €
Jan Olschowsky;Goalkeeper;1 million €
Matthias Ginter;Defender;10 million €
Ramy Bensebaini;Defender;15 million €
Jonas Hofmann;Midfielder;12 million €
Florian Neuhaus;Midfielder;20 million €
Lars Stindl;Forward;5 million €
Alassane Pléa;Forward;25 million €
Marcus Thuram;Forward;30 million €
Breel Embolo;Forward;25 million €
Joe Scally;Defender;8 million €
Christoph Kramer;Midfielder;5 million €
Hannes Wolf;Midfielder;6 million €
Luca Netz;Defender;5 million €
