Name;Position;Value
Kevin Müller;Goalkeeper;1.5 million €
Marc-Philipp Kienle;Goalkeeper;0.5 million €
Stefan Schimmer;Defender;1 million €
Timo Beermann;Defender;1.5 million €
Patrick Mainka;Defender;1.5 million €
Jonas Föhrenbach;Defender;1 million €
Niklas Dorsch;Midfielder;5 million €
Marnon Busch;Defender;2 million €
Jasmin Fejzić;Goalkeeper;0.3 million €
Tim Kleindienst;Forward;4 million €
Jan-Niklas Beste;Midfielder;3 million €
Janni Serra;Forward;3 million €
Florian Pick;Forward;2 million €
David Otto;Forward;2 million €
Moritz Heinrich;Midfielder;1.5 million €
Denis Thomalla;Forward;1 million €
Philipp Förster;Midfielder;2 million €
