Name;Position;Value
Niklas Hoffmann;Goalkeeper;1 million €
Finn Porath;Goalkeeper;0.5 million €
Jannik Dehm;Defender;2 million €
Stefan Thesker;Defender;1 million €
David Kinsombi;Defender;1.5 million €
Leart Paqarada;Defender;2 million €
Johannes van den Bergh;Defender;0.8 million €
Maurice Onguéné;Defender;1 million €
Finn Bartels;Midfielder;1 million €
Alexander Mühling;Midfielder;1.5 million €
Jonas Meffert;Midfielder;2 million €
Jae-sung Lee;Midfielder;5 million €
Benjamin Girth;Forward;1.5 million €
Mikkel Kirkeskov;Forward;1 million €
Martin Kobylanski;Forward;1 million €
Fabian Reese;Forward;2 million €
Dimitrios Diamantakos;Forward;2.5 million €
