Name;Position;Value
Peter Gulacsi;Goalkeeper;10 million €
Janis Blaswich;Goalkeeper;2 million €
Willi Orban;Defender;15 million €
Josko Gvardiol;Defender;30 million €
Dayot Upamecano;Defender;50 million €
Lukas Klostermann;Defender;15 million €
Konrad Laimer;Midfielder;20 million €
Dominik Szoboszlai;Midfielder;25 million €
Christopher Nkunku;Forward;60 million €
Timo Werner;Forward;30 million €
Dani Olmo;Midfielder;25 million €
Emil Forsberg;Midfielder;15 million €
Yussuf Poulsen;Forward;10 million €
Nordi Mukiele;Defender;15 million €
