Name;Position;Value
Robin Zentner;Goalkeeper;5 million €
Florian Müller;Goalkeeper;2 million €
Jeremiah St. Juste;Defender;12 million €
Moussa Niakhaté;Defender;15 million €
Silvan Widmer;Defender;6 million €
Karim Onisiwo;Forward;8 million €
Leandro Barreiro;Midfielder;10 million €
Jean-Paul Boëtius;Midfielder;4 million €
Dominik Kohr;Midfielder;5 million €
Anton Stach;Midfielder;6 million €
Jae-sung Lee;Midfielder;7 million €
Moussa Diaby;Forward;12 million €
Andreas Hanche-Olsen;Defender;3 million €
Marcus Ingvartsen;Forward;6 million €
Ludovic Ajorque;Forward;10 million €
Aymen Barkok;Midfielder;4 million €
Daniel Brosinski;Defender;2 million €
