Name;Position;Value
Fabian Bredlow;Goalkeeper;4 million €
Borna Sosa;Defender;18 million €
Wataru Endo;Midfielder;18 million €
Tiago Tomás;Forward;10 million €
Josha Vagnoman;Defender;8 million €
Serhou Guirassy;Forward;10 million €
Momo Cissé;Defender;2 million €
Chris Führich;Midfielder;4 million €
Juan José Perea;Forward;4 million €
Karim Adeyemi;Forward;25 million €
Atakan Karazor;Midfielder;5 million €
Philipp Klement;Midfielder;2 million €
Nikolas Nartey;Midfielder;3 million €
Luca Pfeiffer;Forward;3 million €
Tanguy Coulibaly;Midfielder;5 million €
Maffeo;Defender;6 million €
