Name;Position;Value
Andreas Luthe;Goalkeeper;3 million €
Rani Khedira;Midfielder;8 million €
Robin Knoche;Defender;5 million €
Janik Haberer;Midfielder;4 million €
Sven Michel;Forward;3 million €
Morten Thorsby;Midfielder;5 million €
Sheraldo Becker;Forward;15 million €
Danilho Doekhi;Defender;8 million €
Jens Petter Hauge;Forward;6 million €
Jordan Siebatcheu;Forward;8 million €
Benedict Hollerbach;Forward;3 million €
András Schäfer;Midfielder;4 million €
Kevin Behrens;Forward;4 million €
Leonard Maloney;Defender;2 million €
Christopher Trimmel;Defender;2 million €
Gerrit Holtmann;Midfielder;3 million €
Aissa Laïdouni;Midfielder;7 million €
