Name;Position;Value
Koen Casteels;Goalkeeper;15 million €
Maximilian Arnold;Midfielder;20 million €
Xaver Schlager;Midfielder;15 million €
Joshua Guilavogui;Midfielder;7 million €
Matthias Ginter;Defender;20 million €
Micky van de Ven;Defender;12 million €
Paulo Otávio;Defender;6 million €
Jerome Roussillon;Defender;5 million €
Josuha Guilavogui;Midfielder;7 million €
Omar Marmoush;Forward;6 million €
Lukas Nmecha;Forward;15 million €
Wout Weghorst;Forward;15 million €
Jakub Kaminski;Forward;12 million €
Bartosz Białek;Forward;8 million €
Aster Vranckx;Midfielder;10 million €
Johan Vasquez;Defender;5 million €
Kevin Paredes;Midfielder;8 million €
Olivier Ntcham;Midfielder;7 million €
